"session.code","group.id_in_subsession","participant.code","player.hours_stated"
"lz7dyuw7",1,"13k4262b",15
"lz7dyuw7",1,"bgb6kfog",15
"lz7dyuw7",2,"jemdgnjp",17
"lz7dyuw7",2,"5t4153nm",17
"lz7dyuw7",3,"wmznqgle",50
"lz7dyuw7",3,"for718dj",50
"lz7dyuw7",4,"k91ypf06",30
"lz7dyuw7",4,"7xfwb0zu",30
"lz7dyuw7",5,"dirw21la",50
"lz7dyuw7",5,"biwxsqhs",50
"lz7dyuw7",6,"h5s37olr",50
"lz7dyuw7",6,"74xuezf4",50
"lz7dyuw7",7,"4cuvzyul",40
"lz7dyuw7",7,"q0k1uimp",40
"advbl96w",1,"trbgut1e",NA
"advbl96w",1,"shq3petg",NA
"advbl96w",2,"uaiukij2",10
"advbl96w",2,"chr1rr3g",10
"advbl96w",3,"qltagad4",NA
"advbl96w",3,"efauze5z",NA
"advbl96w",4,"iwkx2i5i",NA
"advbl96w",4,"0r3owf5n",NA
"yut5khvr",1,"kl9jbhci",20
"yut5khvr",1,"wf3fff2g",20
"yut5khvr",2,"lv4q9fhw",10
"yut5khvr",2,"sg44ehiw",10
"yut5khvr",4,"ynjxifry",10
"yut5khvr",4,"y2fwh3o2",60
"yut5khvr",5,"dhd2vdt3",60
"yut5khvr",5,"6i64yu83",60
"ooopruyi",1,"tozbybl6",20
"ooopruyi",1,"de063mau",20
"ooopruyi",2,"8k0ek7on",60
"ooopruyi",2,"hhiphqgy",60
"ooopruyi",3,"4mnz2x90",30
"ooopruyi",3,"e6ygkxfp",30
"ooopruyi",4,"vilhb3jc",30
"ooopruyi",4,"ax89w8tk",10
"ooopruyi",5,"5oeu51fv",60
"ooopruyi",5,"xn95a270",60
"ooopruyi",6,"c2rj2tut",10
"ooopruyi",6,"4m2h93o6",10
"ajcxvpki",1,"bhlpdi2n",30
"ajcxvpki",1,"bt361d4o",30
"ajcxvpki",2,"e1y483pm",15
"ajcxvpki",2,"yykzm36r",15
"ajcxvpki",3,"b4tkoftt",10
"ajcxvpki",3,"ifig0vld",10
"ajcxvpki",4,"u6rcx9p8",30
"ajcxvpki",4,"t5q3kdvg",30
"ajcxvpki",5,"v0bh5t0j",10
"ajcxvpki",5,"2y6l7cvt",10
"ajcxvpki",6,"mjbrj6gi",60
"ajcxvpki",6,"0qqstc3k",60
"ajcxvpki",7,"wgmqn1k9",10
"b69m6lyx",1,"uj7hdyyi",60
"b69m6lyx",1,"0n5bauor",60
"b69m6lyx",2,"r8kak6j0",60
"b69m6lyx",2,"lo8m0x70",60
"b69m6lyx",3,"xojbeobp",60
"b69m6lyx",3,"n94ev05h",60
"b69m6lyx",4,"wipyck3j",NA
"b69m6lyx",4,"79d67ni1",15
"b69m6lyx",5,"2590my8r",20
"b69m6lyx",5,"9k34mngn",NA
"b69m6lyx",6,"jppcrymp",10
"b69m6lyx",6,"ausyzt1x",10
"b69m6lyx",7,"hl4m9t4d",20
"b69m6lyx",7,"pb3xsgaz",20
"b69m6lyx",8,"ci5xp4ks",30
"b69m6lyx",8,"m8ify0si",30
"b69m6lyx",9,"13r24m3g",55
"b69m6lyx",9,"h00ooie3",55
"b69m6lyx",10,"2fsptkni",60
"b69m6lyx",10,"tk9ersa4",60
"bl673crl",1,"l1xv1b4v",60
"bl673crl",1,"rs33stri",60
"bl673crl",2,"bajnqrps",60
"bl673crl",2,"vs0simqf",60
"bl673crl",3,"kqu8ocgd",60
"bl673crl",3,"lt101d5t",60
"bl673crl",4,"3ucoa5vm",60
"bl673crl",4,"fvr21all",60
"bl673crl",5,"y8x9y9e7",60
"bl673crl",5,"hf6qlt86",60
"bl673crl",6,"hlcrps38",20
"bl673crl",6,"9d4pj4wc",20
"bl673crl",7,"s3gx08bg",50
"bl673crl",7,"0jpzxvod",50
"bl673crl",8,"aodezswg",60
"bl673crl",8,"r3q61j60",60
"bl673crl",9,"6n0bdb22",60
"bl673crl",9,"p69s3kgv",60
"bl673crl",10,"twxn355f",50
"bl673crl",10,"f6074qt9",50
"bl673crl",11,"xkq0g4ul",10
"bl673crl",11,"f674p9xo",10
"bl673crl",12,"scjc4ekc",10
"bl673crl",12,"idkl9bvr",10
"bl673crl",13,"c6idoe15",10
"bl673crl",13,"3c2cirti",10
"an25e9i7",1,"aulosgm2",30
"an25e9i7",1,"pyxx27fb",30
"an25e9i7",2,"ijvhzh9b",10
"an25e9i7",2,"ja776pl9",10
"an25e9i7",3,"yan7ivrf",55
"an25e9i7",3,"tzsix8t0",55
"an25e9i7",4,"sndbxsdf",60
"an25e9i7",4,"ytyxajel",60
"an25e9i7",5,"keipg165",60
"an25e9i7",5,"8h8ik1qg",60
"an25e9i7",6,"2h4316rj",10
"an25e9i7",6,"9rh05j6g",10
"an25e9i7",7,"vr8ey810",60
"an25e9i7",7,"w282vjlp",60
"an25e9i7",8,"i7h0qr61",60
"an25e9i7",8,"rz146n9s",60
"an25e9i7",9,"44esjavk",10
"an25e9i7",9,"ti0cak6e",10
"an25e9i7",10,"8airu129",60
"an25e9i7",10,"f1ojk7p0",60
"an25e9i7",11,"0vva8lxk",60
"an25e9i7",11,"klhow7wd",60
"an25e9i7",12,"bbbhapu9",60
"an25e9i7",12,"w6oyv2a7",60
"an25e9i7",13,"tjlln3ie",10
"an25e9i7",13,"mb2znzz7",10
"an25e9i7",14,"ftd5xpc2",20
"an25e9i7",14,"ge072o09",20
"an25e9i7",15,"uqdre70y",50
"an25e9i7",15,"d7kzgk57",50
"an25e9i7",16,"bzzbu3tn",30
"an25e9i7",16,"bz4c5nrh",30
"an25e9i7",17,"8y2729xk",60
"an25e9i7",17,"byf3zsca",20
"an25e9i7",18,"e25wfxmd",10
"an25e9i7",18,"2fvsvfr4",10
"an25e9i7",19,"3bshygth",10
"an25e9i7",19,"6b1c45zp",10
"an25e9i7",20,"z0v3atma",60
"an25e9i7",20,"2nyqtb3t",60
"an25e9i7",21,"shjkiz4j",60
"an25e9i7",21,"adb8zmsr",60
"zxktguam",1,"eaen0n98",30
"zxktguam",1,"l1xl45nh",30
"zxktguam",2,"1s9m0mp0",10
"zxktguam",2,"lkr7e2lx",10
"zxktguam",3,"4x69ylbi",10
"zxktguam",3,"tbg1myry",10
"zxktguam",4,"lrncam5g",NA
"zxktguam",4,"n3jz0byq",NA
"zxktguam",5,"6n0wb2yv",20
"zxktguam",5,"q0kckvj2",20
"zxktguam",6,"c3j1v536",60
"zxktguam",6,"d1xaitkd",60
"zxktguam",7,"tv4lbwgo",10
"zxktguam",7,"hhknwzcz",10
"zxktguam",8,"uzqouyz1",60
"zxktguam",8,"tljr5ryy",60
"zxktguam",9,"41idvhkd",10
"zxktguam",9,"l56kkjs1",10
"zxktguam",10,"3m5xqb2y",60
"zxktguam",10,"03qugj9k",60
"zxktguam",11,"v64rnjks",10
"zxktguam",11,"4y1csbhe",10
"zxktguam",12,"fmp6bz2z",20
"zxktguam",12,"5bwjw9k1",20
"zxktguam",13,"jmxnuzbt",40
"zxktguam",13,"1bjtnqp1",40
"zxktguam",14,"q2drgewh",40
"zxktguam",14,"rlzm5rgn",40
"zxktguam",15,"nrg6vfgk",10
"zxktguam",15,"nr576y05",10
"zxktguam",16,"lwdkw9nf",60
"zxktguam",16,"huhy1j74",60
"zxktguam",17,"l9xff5d7",10
"zxktguam",17,"i6im0wtk",10
"zxktguam",18,"yldg7v8f",50
"zxktguam",18,"hipbt8w3",50
"zxktguam",19,"2chqneof",10
"zxktguam",19,"nqtfr1we",10
"zxktguam",20,"4jntadil",10
"zxktguam",20,"mhyn68y3",10
"avxwajsi",1,"2gk5rw8u",60
"avxwajsi",1,"lht72c9u",60
"avxwajsi",2,"vkg3tdbm",10
"avxwajsi",2,"d6xejdej",10
"avxwajsi",3,"59nw7hik",60
"avxwajsi",3,"yty1ryg1",60
"avxwajsi",4,"53ori9is",20
"avxwajsi",4,"w85v58dy",20
"avxwajsi",5,"fzp9x5g2",30
"avxwajsi",5,"c0sxeyff",30
"avxwajsi",6,"t2wbgpva",30
"avxwajsi",6,"hb4bzyo6",30
"avxwajsi",7,"ct2xoa4r",10
"avxwajsi",7,"elw4am8i",10
"avxwajsi",8,"s41tk1r7",18
"avxwajsi",8,"ej30kjnq",18
"avxwajsi",9,"nw4rx5jn",10
"avxwajsi",9,"rhvf3sx0",10
"avxwajsi",10,"smyx0sm4",10
"avxwajsi",10,"cbcznc5i",10
"avxwajsi",11,"ipf19mcn",10
"avxwajsi",11,"35xdskpo",10
"avxwajsi",12,"5ye0rku1",NA
"avxwajsi",12,"q1u35fjg",NA
"avxwajsi",13,"j2vw0vqd",30
"avxwajsi",13,"pz174ni0",30
"avxwajsi",14,"vxij2b6m",10
"avxwajsi",14,"rtjey2gj",10
"avxwajsi",15,"1y5n6hu4",40
"avxwajsi",15,"rv0x45cj",40
"avxwajsi",16,"9ovuvywv",60
"avxwajsi",16,"0d0c9285",60
"avxwajsi",17,"sfvs5fv7",30
"avxwajsi",17,"fh6ecwuo",30
"avxwajsi",18,"wr95ks8g",40
"avxwajsi",18,"32wqfqla",40
"avxwajsi",19,"x4tigpj6",60
"avxwajsi",19,"22khtx52",60
"etixhxvh",1,"1f3bxplc",10
"etixhxvh",1,"bd6q3buh",10
"etixhxvh",2,"jqmkzq88",60
"etixhxvh",2,"8exed40z",60
"etixhxvh",3,"xxsd55er",10
"etixhxvh",3,"agsd46d7",10
"etixhxvh",4,"ofdl5t4r",15
"etixhxvh",4,"hr30byp5",15
"etixhxvh",5,"asdpjybd",10
"etixhxvh",5,"e063v9fh",10
"etixhxvh",6,"3qlkpfv8",20
"etixhxvh",6,"88l5c3dy",20
"etixhxvh",7,"cr57i9i7",10
"etixhxvh",7,"gspuwtoo",10
"etixhxvh",8,"7t03letg",NA
"etixhxvh",8,"o5ywccyv",NA
"etixhxvh",9,"a50l88s1",60
"etixhxvh",9,"hj2tuezt",60
"etixhxvh",10,"l5nn3bny",60
"etixhxvh",10,"xm26jghr",60
"etixhxvh",11,"8fd5st4e",20
"etixhxvh",11,"yp9okx4a",20
"etixhxvh",12,"28gpo7oe",20
"etixhxvh",12,"lgs1ezp3",20
"etixhxvh",13,"9q77gb1q",60
"etixhxvh",13,"0ex6zv1a",60
"etixhxvh",14,"hogsozi3",30
"etixhxvh",14,"8v0cot8v",30
"etixhxvh",15,"dsnmb1xb",40
"etixhxvh",15,"cno3jxh7",40
"etixhxvh",16,"xiucstdi",60
"etixhxvh",16,"ylh8x7ga",60
"etixhxvh",17,"dlzfpnbs",10
"etixhxvh",17,"i14x4vet",10
"etixhxvh",18,"1diowvan",10
"etixhxvh",18,"8ilaqh4b",10
"etixhxvh",19,"i1yy51w0",60
"etixhxvh",19,"edr5j9v2",60
"etixhxvh",20,"4wtov6cx",30
"etixhxvh",20,"gwwv4y7p",30
"etixhxvh",21,"nfo2sw1s",30
"etixhxvh",21,"d2zsqd7x",30
"cg6kl97o",1,"5jd7jq4l",60
"cg6kl97o",1,"u1iawdg8",60
"cg6kl97o",2,"fk9wb311",15
"cg6kl97o",2,"37hw1ygg",15
"cg6kl97o",3,"wa9iofc0",60
"cg6kl97o",3,"x8a4ore7",60
"cg6kl97o",4,"06cb62u4",60
"cg6kl97o",4,"9oszy5gm",60
"cg6kl97o",5,"xj50f5rj",10
"cg6kl97o",5,"bytxtcuf",10
"cg6kl97o",6,"b6wrl5dl",30
"cg6kl97o",6,"0hernp3r",30
"cg6kl97o",7,"qfqst3wg",10
"cg6kl97o",7,"yj8vw89a",10
"cg6kl97o",8,"2i6vldme",60
"cg6kl97o",8,"cw1kndkp",60
"cg6kl97o",9,"q0h8sg4c",10
"cg6kl97o",9,"n9ecm11x",10
"cg6kl97o",10,"26rjj01i",60
"cg6kl97o",10,"02cppavy",60
"cg6kl97o",11,"cxs180bt",60
"cg6kl97o",11,"fl7agvhl",60
"cg6kl97o",12,"9qg7zvtq",10
"cg6kl97o",12,"ocd72t7a",10
"cg6kl97o",13,"b4sb3gfg",17
"cg6kl97o",13,"5n2i53ok",17
"cg6kl97o",14,"63wo3mgo",10
"cg6kl97o",14,"60x2ki1d",10
"cg6kl97o",15,"1lmu65wf",10
"cg6kl97o",15,"qs4pqmpv",10
"cg6kl97o",16,"7eycqshz",60
"cg6kl97o",16,"ir7bl3ll",60
"cg6kl97o",17,"r2mpzvzr",60
"cg6kl97o",17,"ro6vsos1",60
"cg6kl97o",18,"mkjmtsw4",30
"cg6kl97o",18,"eemaunaj",30
"cg6kl97o",19,"fdsb4aeu",10
"cg6kl97o",19,"3upn5xqb",10
"cg6kl97o",20,"oo5dkq18",60
"cg6kl97o",20,"6g6d5a7b",60
"cg6kl97o",21,"c0xvd3ml",30
"cg6kl97o",21,"e7q60tg3",30
"cg6kl97o",22,"6mejt8r0",60
"cg6kl97o",22,"yuff5rwb",60
"cg6kl97o",23,"rz31r2yo",20
"cg6kl97o",23,"j760lah8",20
"d671rbzv",1,"minrdgiv",60
"d671rbzv",1,"7ljhgyf5",60
"d671rbzv",2,"lnjut9e7",20
"d671rbzv",2,"80o18905",20
"d671rbzv",3,"2keal9tb",10
"d671rbzv",3,"xypsflvk",10
"d671rbzv",4,"j0vct995",10
"d671rbzv",4,"knx3rpyn",10
"d671rbzv",5,"ke0cw37k",60
"d671rbzv",5,"vhs3e6sz",60
"d671rbzv",6,"vkw0dkpu",10
"d671rbzv",6,"pbfhc88r",10
"d671rbzv",7,"nkrw7vrw",60
"d671rbzv",7,"ar52r0i4",60
"d671rbzv",8,"3uvm24h4",10
"d671rbzv",8,"zw79htcf",10
"d671rbzv",9,"d9igv842",60
"d671rbzv",9,"yuftp90m",60
"d671rbzv",10,"h0kg09wy",10
"d671rbzv",10,"cil2itx1",10
"d671rbzv",11,"1hsj2093",30
"d671rbzv",11,"707ewyzo",30
"d671rbzv",12,"as56ihoi",60
"d671rbzv",12,"xi6jcb7e",60
"d671rbzv",13,"ptzlbex1",20
"d671rbzv",13,"oqraa9wo",20
"d671rbzv",14,"frn8jt81",60
"d671rbzv",14,"o3m7yt4g",60
"d671rbzv",15,"veuxu7aa",30
"d671rbzv",15,"5td18uwy",30
"d671rbzv",16,"iarivh4i",35
"d671rbzv",16,"8eobpr3h",35
"d671rbzv",17,"6hilavco",30
"d671rbzv",17,"62c24f5i",10
"d671rbzv",18,"xmmjeixm",60
"d671rbzv",18,"39tbbn1j",60
"d671rbzv",19,"iwb8qdxv",10
"d671rbzv",19,"60o0ap0o",10
"d671rbzv",20,"wn1t5c13",NA
"d671rbzv",20,"bwkj0e4d",NA
"d671rbzv",21,"byuwwhlp",60
"d671rbzv",21,"vgx73hhy",60
